Ano base,UF,Classe Substância,Substância Mineral,Quantidade Produção - Minério ROM (t),Quantidade Contido,Unidade de Medida - Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2010,GO,Não-Metálicos,Rochas Ornamentais - Outras,1832.0,0.0,-,,1700.0,17000.0,0.0,0.0,0.0,0.0
2010,GO,Metálicos,Titânio,59000.0,7000.0,t,TiO2,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Não-Metálicos,Fosfato,10601898.0,1295309.02,t,P2O5,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Metálicos,Prata,983546.0,155.96,kg,Ag,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Gemas e Diamantes,Diamante,1990.0,82.8,ct,,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Não-Metálicos,Saibro,876.0,0.0,-,,876.0,5444.0,0.0,0.0,0.0,0.0
2010,GO,Metálicos,Alumínio (Bauxita),4160.0,2410.72,t,Al2O3,0.0,0.0,0.0,0.0,4091.0,106326.0
2010,GO,Não-Metálicos,Argilas,1009348.17,0.0,-,,630875.63,1709014.63,6150.0,76249.96,406637.28,1396851.22
2010,GO,Não-Metálicos,Caulim,14746.44,0.0,-,,6282.0,136538.27,0.0,0.0,8464.44,7702.65
2010,GO,Metálicos,Níquel,5010277.13,57487.2,t, Ni,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Metálicos,Cobalto,3792814.13,3062.34,t,Co,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Não-Metálicos,Bário,4803283.0,166987.1,t,BaSO4,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Não-Metálicos,Dolomito e Magnesita,379238.0,0.0,-,,12.0,0.12,0.0,0.0,63128.0,0.12
2010,GO,Não-Metálicos,Calcário,4270580.79,0.0,-,,4862.17,51212.8,128834.0,688143.72,53699.8,0.12
2010,GO,Não-Metálicos,Rochas (Britadas) e Cascalho,7865412.66,0.0,-,,660378.97,6152533.92,104800.0,157200.0,92976.0,331024.05
2010,GO,Metálicos,Ferro,0.0,0.0,t,Fe,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Metálicos,Ouro,22645671.98,11759.03,kg,Au,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Não-Metálicos,Vermiculita e Perlita,172854.65,39925.64,t,,0.0,0.0,41045.64,1567118.0,5998.69,242415.4
2010,GO,Gemas e Diamantes,Gemas,2180.0,218.0,kg,,0.0,0.0,0.0,0.0,0.0,0.0
