Ano base,UF,Classe Substância,Substância Mineral,Quantidade Produção,Unidade de Medida - Produção,Quantidade Contido,Unidade de Medida - Contido,Indicação Contido,Quantidade Venda,Unidade de Medida - Venda,Valor Venda (R$),Quantidade Consumo/Utilização na Usina,Unidade de Medida - Consumo/Utilização na Usina,Valor Consumo / Utilização na Usina (R$),Quantidade Transferência para Transformação / Utilização / Consumo,Unidade de Medida - Transferência para Transformação / Utilização / Consumo,Valor Transferência para Transformação / Utilização / Consumo (R$)
2010,GO,Não-Metálicos,Rochas (Britadas) e Cascalho,5970704.88,t,0.0,-,,5354502.35,t,137344071.92,1941,t,17469.0,276769.43,t,4296752.49
2010,GO,Não-Metálicos,Rochas Ornamentais,6980.0,t,0.0,-,,6980.0,t,35196.0,0,t,0.0,0.0,t,0.0
2010,GO,Não-Metálicos,Vermiculita e Perlita,44413.0,t,25000.0,t,,36495.64,t,3347473.04,0,t,0.0,5183.65,t,434969.2
2010,MA,Metálicos,Ouro,506.73,kg,471.25,kg,Au,432.96,kg,31961892.28,0,kg,0.0,0.0,kg,0.0
2010,MA,Não-Metálicos,Areia,3361.0,t,0.0,-,,3361.0,t,16355.0,0,t,0.0,0.0,t,0.0
2010,MA,Não-Metálicos,Argilas,153809.1,t,0.0,-,,35546.87,t,3347112.56,"118177,28000000001",t,875876.01,0.0,t,0.0
2010,MA,Não-Metálicos,Calcário,273029.0,t,0.0,-,,273029.0,t,6970223.55,0,t,0.0,0.0,t,0.0
2010,MA,Não-Metálicos,Rochas (Britadas) e Cascalho,1640172.99,t,0.0,-,,1647501.4,t,44190175.55,0,t,0.0,0.0,t,0.0
2010,MG,Gemas e Diamantes,Diamante,10659.11,ct,10659.11,ct,,7620.47,ct,3653583.72,0,ct,0.0,0.0,ct,0.0
2010,MG,Gemas e Diamantes,Gemas,486.99,kg,486.99,kg,,361.47,kg,8760285.46,"19,040749999999999",kg,118049.7,0.0,kg,0.0
2010,MG,Metálicos,Alumínio (Bauxita),2968433.58,t,1286851.46,t,Al2O3,6295.66,t,2022147.85,0,t,0.0,2964851.34,t,134315799.75
2010,MG,Metálicos,Chumbo,19650.36,t,12832.38,t,Pb,19739.98,t,27013105.6,0,t,0.0,0.0,t,0.0
2010,MG,Metálicos,Columbita-Tantalita,773.85,t,150.0,t,Ta2O5,747.7,t,15970972.79,0,t,0.0,0.0,t,0.0
2010,MG,Metálicos,Estanho,451039.0,kg,316957.0,kg,Sn,417759.0,kg,4447408.02,0,kg,0.0,0.0,kg,0.0
2010,MG,Metálicos,Ferro,262341144.83,t,165409770.33,t,Fe,181276735.17,t,26535255660.03,4846896,t,127418118.18,72347311.39,t,4143302072.34
